Author,CommitDate,ChangeType,ChangeCount
Falk Sippach,2015-05-06,A,6
Gerd Aschemann,2015-05-06,R,5
Gerd Aschemann,2015-05-06,A,1
Falk Sippach,2015-05-06,M,1
Gerd Aschemann,2015-05-06,M,1
Niko Köbler,2015-05-07,A,6
Niko Köbler,2015-05-07,M,2
Niko Köbler,2015-05-07,D,1
Christofer Dutz,2015-05-07,M,1
Gerd Aschemann,2015-05-11,R,5
Gerd Aschemann,2015-05-11,M,3
Gerd Aschemann,2015-05-11,A,1
Gerd Aschemann,2015-05-12,M,14
Niko Köbler,2015-05-12,M,8
Gerd Aschemann,2015-05-12,A,5
Gerd Aschemann,2015-05-12,R,5
Niko Köbler,2015-05-12,A,1
Gerd Aschemann,2015-05-12,D,1
Niko Köbler,2015-05-13,M,12
Falk Sippach,2015-05-13,A,10
Falk Sippach,2015-05-13,M,10
Gerd Aschemann,2015-05-13,M,9
Falk Sippach,2015-05-13,D,6
Niko Köbler,2015-05-13,M,6
Niko Köbler,2015-05-13,A,5
Niko Köbler,2015-05-13,A,5
Gerd Aschemann,2015-05-13,D,5
Niko Köbler,2015-05-13,D,5
Niko Köbler,2015-05-13,R,4
Gerd Aschemann,2015-05-13,A,2
Niko Köbler,2015-05-13,D,1
Niko Köbler,2015-05-14,M,9
Falk Sippach,2015-05-14,M,4
Falk Sippach,2015-05-14,R,4
Falk Sippach,2015-05-14,A,2
Falk Sippach,2015-05-15,M,2
Niko Köbler,2015-05-19,M,2
Gerd Aschemann,2015-06-01,A,2
Gerd Aschemann,2015-06-01,M,2
Niko Köbler,2015-06-01,M,1
Gerd Aschemann,2015-06-02,M,3
Gerd Aschemann,2015-06-03,M,3
Gerd Aschemann,2015-06-03,A,1
Gerd Aschemann,2015-06-06,M,2
Falk Sippach,2015-07-19,M,1
Gerd Aschemann,2015-07-21,M,2
"Aschemann, Gerd",2015-07-23,M,3
"Aschemann, Gerd",2015-07-23,A,1
Gerd Aschemann,2015-08-14,M,2
Gerd Aschemann,2015-08-18,M,3
Gerd Aschemann,2015-08-24,M,5
Gerd Aschemann,2015-08-24,A,4
Gerd Aschemann,2015-08-28,M,12
Gerd Aschemann,2015-08-28,A,7
Gerd Aschemann,2015-08-31,M,1
Gerd Aschemann,2015-09-01,A,3
Gerd Aschemann,2015-09-01,M,2
Gerd Aschemann,2015-09-06,M,4
Gerd Aschemann,2015-09-06,A,3
Christofer Dutz,2015-09-06,M,2
Christofer Dutz,2015-09-07,M,3
Falk Sippach,2015-09-09,M,7
Falk Sippach,2015-09-09,A,4
Falk Sippach,2015-09-10,A,1
Falk Sippach,2015-09-10,M,1
Gerd Aschemann,2015-09-17,M,1
Gerd Aschemann,2015-09-18,M,7
Gerd Aschemann,2015-09-18,A,2
Gerd Aschemann,2015-09-18,R,1
Gerd Aschemann,2015-09-19,A,1
Gerd Aschemann,2015-09-19,M,1
Gerd Aschemann,2015-09-21,A,1
Falk Sippach,2015-09-23,M,8
Falk Sippach,2015-09-23,D,6
Falk Sippach,2015-09-23,A,3
Falk Sippach,2015-09-23,R,3
Christofer Dutz,2015-09-23,M,1
Falk Sippach,2015-09-24,M,26
Falk Sippach,2015-09-24,A,17
Gerd Aschemann,2015-09-24,M,6
Falk Sippach,2015-09-24,R,6
Falk Sippach,2015-09-24,D,2
Gerd Aschemann,2015-09-24,A,1
Falk Sippach,2015-09-25,M,26
Falk Sippach,2015-09-25,A,13
Falk Sippach,2015-09-25,D,4
Gerd Aschemann,2015-09-25,A,1
Falk Sippach,2015-09-25,R,1
Falk Sippach,2015-09-26,M,35
Falk Sippach,2015-09-26,A,17
Falk Sippach,2015-09-26,D,5
Falk Sippach,2015-09-26,R,1
Gerd Aschemann,2015-09-28,M,4
Gerd Aschemann,2015-09-28,A,1
Gerd Aschemann,2015-10-02,A,2
Gerd Aschemann,2015-10-02,M,1
Falk Sippach,2015-10-08,M,78
Falk Sippach,2015-10-08,A,14
Falk Sippach,2015-10-08,D,10
Falk Sippach,2015-10-08,R,4
Falk Sippach,2015-10-09,M,26
Falk Sippach,2015-10-09,A,4
Falk Sippach,2015-10-10,M,113
Falk Sippach,2015-10-10,A,6
Falk Sippach,2015-10-10,R,5
Christofer Dutz,2015-10-10,M,3
Gerd Aschemann,2015-10-10,M,3
Christofer Dutz,2015-10-10,A,1
Gerd Aschemann,2015-10-10,A,1
Falk Sippach,2015-10-10,C,1
Falk Sippach,2015-10-10,D,1
Falk Sippach,2015-10-12,A,2
Falk Sippach,2015-10-12,M,2
Falk Sippach,2015-10-12,D,1
Falk Sippach,2015-10-16,M,14
Falk Sippach,2015-10-16,A,2
Falk Sippach,2015-10-18,M,6
Falk Sippach,2015-10-19,R,31
Falk Sippach,2015-10-19,M,14
Falk Sippach,2015-10-19,D,1
Falk Sippach,2015-10-30,M,1
Gerd Aschemann,2015-11-15,A,3
Gerd Aschemann,2015-11-15,M,1
Gerd Aschemann,2015-11-15,R,1
Falk Sippach,2015-11-17,M,2
Alexander Schwartz,2015-11-28,M,1
Falk Sippach,2015-11-28,M,1
Alexander Schwartz,2015-12-01,A,30
Alexander Schwartz,2015-12-01,M,1
Falk Sippach,2015-12-06,M,1
Gerd Aschemann,2015-12-07,A,30
Gerd Aschemann,2015-12-07,M,7
Gerd Aschemann,2015-12-22,M,1
Alexander Schwartz,2015-12-31,A,7
Gerd Aschemann,2015-12-31,A,5
Alexander Schwartz,2015-12-31,M,5
Gerd Aschemann,2015-12-31,M,3
Gerd Aschemann,2016-01-01,M,5
Gerd Aschemann,2016-01-01,A,2
Alexander Schwartz,2016-01-05,M,1
Alexander Schwartz,2016-01-06,A,60
Alexander Schwartz,2016-01-06,M,25
Alexander Schwartz,2016-01-06,R,18
Alexander Schwartz,2016-01-06,D,9
Gerd Aschemann,2016-01-10,M,11
Gerd Aschemann,2016-01-10,A,2
Gerd Aschemann,2016-01-10,D,2
Alexander Schwartz,2016-01-11,M,1
Alexander Schwartz,2016-01-12,M,11
Alexander Schwartz,2016-01-12,A,4
Falk Sippach,2016-01-13,A,47
Falk Sippach,2016-01-13,M,13
Falk Sippach,2016-01-13,D,2
Alexander Schwartz,2016-01-13,M,2
Alexander Schwartz,2016-01-13,A,1
Gerd Aschemann,2016-01-13,M,1
Falk Sippach,2016-01-13,R,1
