Author,FileType,ModificationKind,ChangeCount
Falk Sippach,groovy,A,120
Dirk Mahler,jpg,A,74
Falk Sippach,java,A,60
Gerd Aschemann,java,A,60
Falk Sippach,jpg,A,56
Alexander Schwartz,java,A,54
Gerd Aschemann,groovy,A,51
Dirk Mahler,groovy,A,48
Gerd Aschemann,properties,A,25
Dirk Mahler,java,A,17
Falk Sippach,raw,A,17
Alexander Schwartz,groovy,A,16
Christofer Dutz,java,A,15
Falk Sippach,properties,A,12
Dirk Mahler,png,A,9
Gerd Aschemann,jpg,A,9
Christofer Dutz,jpg,A,9
Gerd Aschemann,xml,A,8
Gerd Aschemann,adoc,A,8
Dirk Mahler,adoc,A,8
Dirk Mahler,raw,A,7
Christofer Dutz,groovy,A,6
Dirk Mahler,properties,A,6
Niko Köbler,json,A,5
Gerd Aschemann,raw,A,5
Alexander Schwartz,xml,A,5
Gerd Aschemann,txt,A,5
Christofer Dutz,png,A,5
Niko Köbler,java,A,5
Falk Sippach,xml,A,4
Gerd Aschemann,gitignore,A,4
Gerd Aschemann,csv,A,4
Gerd Aschemann,mvn/wrapper/maven-wrapper,A,4
Alexander Schwartz,gitignore,A,4
Gerd Aschemann,sql,A,4
Alexander Schwartz,mvn/wrapper/maven-wrapper,A,4
Falk Sippach,csv,A,4
Falk Sippach,adoc,A,3
Falk Sippach,raw_community,A,3
Dirk Mahler,csv,A,3
Falk Sippach,yml,A,3
annam002,properties,A,3
Gerd Aschemann,html,A,3
Falk Sippach,gitignore,A,3
Gerd Aschemann,png,A,3
Dirk Mahler,yml,A,2
Falk Sippach,mvn/wrapper/maven-wrapper,A,2
Alexander Schwartz,jboss,A,2
Gerd Aschemann,md,A,2
Gerd Aschemann,gitattributes,A,2
Alexander Schwartz,adoc,A,2
Niko Köbler,txt,A,2
Alexander Schwartz,cmd,A,2
Gerd Aschemann,puml,A,2
Christofer Dutz,properties,A,2
Alexander Schwartz,md,A,2
Alexander Schwartz,gitattributes,A,2
Gerd Aschemann,svg,A,2
Gerd Aschemann,bat,A,2
Gerd Aschemann,jboss,A,2
annam002,groovy,A,2
Alexander Schwartz,raw,A,2
Gerd Aschemann,cmd,A,2
Alexander Schwartz,bat,A,2
Alexander Schwartz,sh,A,1
Gerd Aschemann,travis,A,1
Falk Sippach,json,A,1
Falk Sippach,sql,A,1
Niko Köbler,groovy,A,1
Christofer Dutz,xml,A,1
stephaniep,properties,A,1
steffchep,properties,A,1
Dirk Mahler,ftl,A,1
Falk Sippach,bat,A,1
Alexander Schwartz,raw_community,A,1
Falk Sippach,sh,A,1
Falk Sippach,jboss,A,1
"Aschemann, Gerd",raw,A,1
Falk Sippach,txt,A,1
Dirk Mahler,xml,A,1
Falk Sippach,cmd,A,1
Niko Köbler,java,A,1
Dirk Mahler,puml,A,1
Gerd Aschemann,sh,A,1
Alexander Schwartz,csv,A,1
Niko Köbler,raml,A,1
Gerd Aschemann,raw_community,A,1
Niko Köbler,travis,A,1
Dirk Mahler,svg,A,1
Falk Sippach,ftl,A,1
Falk Sippach,md,A,1
Niko Köbler,jpg,A,1
Falk Sippach,gitattributes,A,1
Dirk Mahler,txt,A,1
Alexander Schwartz,properties,A,1
Dirk Mahler,html,A,1
Christofer Dutz,ftl,A,1
Christofer Dutz,jpg,C,9
Christofer Dutz,png,C,4
Dirk Mahler,groovy,C,1
Falk Sippach,java,C,1
Falk Sippach,groovy,D,36
Gerd Aschemann,groovy,D,14
Falk Sippach,json,D,7
Gerd Aschemann,json,D,5
Falk Sippach,java,D,5
Gerd Aschemann,java,D,5
Alexander Schwartz,groovy,D,4
Niko Köbler,json,D,4
Alexander Schwartz,java,D,3
Falk Sippach,raw,D,2
Alexander Schwartz,xml,D,2
Falk Sippach,csv,D,2
Gerd Aschemann,html,D,2
Dirk Mahler,html,D,1
Gerd Aschemann,raml,D,1
Falk Sippach,properties,D,1
Gerd Aschemann,raw,D,1
Gerd Aschemann,sql,D,1
Christofer Dutz,groovy,D,1
Niko Köbler,raml,D,1
Niko Köbler,groovy,D,1
Niko Köbler,jpg,D,1
Falk Sippach,raml,D,1
