Author,ModificationKind,ChangeCount
Alexander Schwartz,A,103
"Aschemann, Gerd",A,1
Christofer Dutz,A,39
Dirk Mahler,A,180
Falk Sippach,A,298
Gerd Aschemann,A,212
Niko Köbler,A,12
Niko Köbler,A,5
annam002,A,5
steffchep,A,1
stephaniep,A,1
Christofer Dutz,C,13
Dirk Mahler,C,1
Falk Sippach,C,1
Alexander Schwartz,D,11
Christofer Dutz,D,2
Dirk Mahler,D,1
Falk Sippach,D,54
Gerd Aschemann,D,29
Niko Köbler,D,6
Niko Köbler,D,1
Alexander Schwartz,M,102
"Aschemann, Gerd",M,3
Christofer Dutz,M,114
Dirk Mahler,M,39
DukeCon Jenkins,M,1
Falk Sippach,M,691
Gerd Aschemann,M,312
Michal Harakal,M,3
Niko Köbler,M,35
Niko Köbler,M,6
PitTorf,M,2
Stephanie Peters,M,2
annam002,M,11
steffchep,M,1
Alexander Schwartz,R,18
Christofer Dutz,R,29
Dirk Mahler,R,11
Falk Sippach,R,72
Gerd Aschemann,R,47
Niko Köbler,R,4
annam002,R,14
