FilePath,ModificationKind,ChangeCount
impl/pom.xml,M,135
pom.xml,M,86
impl/src/main/resources/application.properties,M,47
api/pom.xml,M,35
impl/src/main/java/org/dukecon/DukeConServerApplication.groovy,M,27
api/src/main/java/org/dukecon/model/MetaData.java,M,26
impl/src/main/java/org/dukecon/server/adapter/doag/DoagDataExtractor.groovy,M,25
impl/src/test/java/org/dukecon/server/business/JavalandDataExtractorSpec.groovy,M,25
api/src/main/java/org/dukecon/model/Conference.java,M,25
impl/src/main/java/org/dukecon/server/business/JavalandDataExtractor.groovy,M,24
.gitignore,M,23
README.md,M,22
api/src/main/java/org/dukecon/model/Speaker.java,M,21
impl/src/main/resources/conferences.yml,M,20
impl/src/main/java/org/dukecon/server/conference/ConferencesResource.groovy,M,19
impl/src/main/java/org/dukecon/server/business/TalkProvider.groovy,M,19
impl/src/main/java/org/dukecon/server/services/ConferenceServiceImpl.java,M,17
impl/src/main/resources/application-production.properties,M,16
api/src/main/java/org/dukecon/model/Talk.java,M,16
.travis.yml,M,16
impl/src/test/java/org/dukecon/server/gui/page/StartPage.java,M,16
impl/src/main/java/org/dukecon/server/impl/JerseyConfig.java,M,15
impl/src/main/java/org/dukecon/server/core/JerseyConfig.java,M,14
api/src/main/java/org/dukecon/model/Track.java,M,14
impl/src/test/java/org/dukecon/server/business/TalkProviderSpec.groovy,M,13
impl/src/main/resources/application-latest.properties,M,13
impl/src/test/java/org/dukecon/server/business/JavalandDataProviderSpec.groovy,M,13
api/src/main/java/org/dukecon/model/Audience.java,M,13
impl/src/main/java/org/dukecon/server/service/TalkService.java,M,12
api/src/main/java/org/dukecon/model/Event.java,M,12
api/src/main/java/org/dukecon/model/Language.java,M,12
impl/src/main/java/org/dukecon/server/service/AbstractPreferencesService.groovy,M,11
impl/src/test/java/org/dukecon/server/conference/adpater/doag/DoagDataExtractorSpec.groovy,M,11
impl/src/main/java/org/dukecon/server/adapter/WebResourceDataProviderRemote.groovy,M,10
impl/src/main/java/org/dukecon/server/service/MetaService.java,M,10
impl/src/main/java/org/dukecon/server/business/JavalandDataProvider.groovy,M,10
impl/src/main/resources/application-noauth.properties,M,9
impl/src/main/java/org/dukecon/server/conference/ConferencesConfiguration.groovy,M,9
impl/src/main/java/org/dukecon/server/conference/JavalandDataExtractor.groovy,M,9
impl/src/test/java/org/dukecon/integration/DukeconServerApplicationSpec.groovy,M,9
impl/src/main/java/org/dukecon/server/javaland/JavalandDataExtractor.groovy,M,9
impl/src/main/resources/application-testing.properties,M,9
xvfb.sh,M,9
impl/src/main/resources/javaland-2016-testdata.raw,A,9
impl/src/main/resources/application-testdata.properties,A,9
impl/src/test/java/org/dukecon/server/service/PreferencesServiceSpec.groovy,M,9
impl/src/main/java/org/dukecon/server/adapter/sched/SchedDataProvider.groovy,M,8
impl/src/main/java/org/dukecon/server/adapter/DataProviderLoader.groovy,M,8
api/src/main/java/org/dukecon/model/Room.java,M,8
impl/src/main/java/org/dukecon/server/services/ResourceServiceImpl.java,M,8
impl/src/main/java/org/dukecon/server/core/MetaService.java,M,8
impl/src/test/java/org/dukecon/server/favorite/FavoritesRepositorySpec.groovy,M,7
impl/src/main/java/org/dukecon/server/service/ConferenceService.groovy,M,7
api/src/main/java/org/dukecon/model/Location.java,M,7
api/src/main/java/org/dukecon/model/EventType.java,M,6
impl/src/test/java/org/dukecon/server/conference/EventProviderSpec.groovy,M,6
impl/src/main/java/org/dukecon/server/adapter/doag/DoagSingleSpeakerMapper.groovy,M,6
impl/src/main/java/org/dukecon/server/conference/JavalandDataProvider.groovy,M,6
impl/src/main/resources/twitterhandles.csv,A,6
api/src/main/java/org/dukecon/model/Audience.java,A,6
impl/src/main/resources/twitterhandles.csv,M,6
impl/src/main/java/org/dukecon/server/adapter/sched/SchedDataExtractor.groovy,M,6
impl/src/main/resources/application-release.properties,M,6
api/src/main/java/org/dukecon/model/Track.java,A,6
impl/src/test/java/org/dukecon/server/business/TalkProviderIntegrationSpec.groovy,D,6
api/src/main/java/org/dukecon/model/Language.java,A,6
impl/src/test/resources/javaland-2016.raw,A,6
api/src/main/java/org/dukecon/model/TalkType.java,M,6
impl/src/test/java/org/dukecon/server/gui/package-info.java,A,5
impl/src/test/java/org/dukecon/server/gui/DetailPageTest.java,A,5
.mvn/wrapper/maven-wrapper.jar,A,5
impl/src/test/java/org/dukecon/server/gui/StartPageTest.java,M,5
impl/src/main/java/org/dukecon/server/security/KeycloakAuthentication.groovy,M,5
api/src/main/java/org/dukecon/model/user/UserPreference.java,M,5
impl/src/test/java/org/jboss/arquillian/junit/package-info.java,A,5
