Author,ChangeCount,FilePath
Alexander Schwartz,2,.gitattributes
Gerd Aschemann,2,.gitattributes
Falk Sippach,1,.gitattributes
Gerd Aschemann,11,.gitignore
Falk Sippach,9,.gitignore
Niko Köbler,2,.gitignore
Alexander Schwartz,1,.gitignore
Dirk Mahler,1,.gitignore
Gerd Aschemann,4,.mvn
Alexander Schwartz,4,.mvn
Falk Sippach,2,.mvn
Alexander Schwartz,6,.travis.yml
Gerd Aschemann,6,.travis.yml
Falk Sippach,3,.travis.yml
annam002,1,.travis.yml
Niko Köbler,1,.travis.yml
Dirk Mahler,1,.travis.yml
Alexander Schwartz,6,GUITESTING.adoc
Gerd Aschemann,2,GUITESTING.adoc
Falk Sippach,1,GUITESTING.adoc
Falk Sippach,8,README.md
Gerd Aschemann,6,README.md
Niko Köbler,3,README.md
Alexander Schwartz,3,README.md
annam002,1,README.md
Dirk Mahler,1,README.md
Niko Köbler,2,dukecon.jpg
Alexander Schwartz,2,mvnw.cmd
Gerd Aschemann,2,mvnw.cmd
Falk Sippach,1,mvnw.cmd
Gerd Aschemann,43,pom.xml
Falk Sippach,21,pom.xml
Christofer Dutz,11,pom.xml
Dirk Mahler,5,pom.xml
Alexander Schwartz,5,pom.xml
annam002,1,pom.xml
Niko Köbler,1,pom.xml
Niko Köbler,1,pom.xml
Alexander Schwartz,8,xvfb.sh
Gerd Aschemann,1,xvfb.sh
Dirk Mahler,1,xvfb.sh
DukeCon Jenkins,1,xvfb.sh
Falk Sippach,1,xvfb.sh
Alexander Schwartz,4,.mvn/wrapper
Gerd Aschemann,4,.mvn/wrapper
Falk Sippach,2,.mvn/wrapper
Niko Köbler,2,api/dukecon.raml
Niko Köbler,1,api/meta_example.json
Niko Köbler,1,api/meta_schema.json
Gerd Aschemann,20,api/pom.xml
Falk Sippach,11,api/pom.xml
Alexander Schwartz,3,api/pom.xml
Niko Köbler,2,api/pom.xml
Dirk Mahler,1,api/pom.xml
Niko Köbler,1,api/talk_example.json
Niko Köbler,1,api/talk_schema.json
Gerd Aschemann,2,impl/.gitignore
Alexander Schwartz,2,impl/.gitignore
Falk Sippach,1,impl/.gitignore
Gerd Aschemann,57,impl/pom.xml
Falk Sippach,38,impl/pom.xml
Alexander Schwartz,13,impl/pom.xml
Christofer Dutz,11,impl/pom.xml
Niko Köbler,10,impl/pom.xml
Niko Köbler,4,impl/pom.xml
Dirk Mahler,1,impl/pom.xml
annam002,1,impl/pom.xml
Michal Harakal,1,impl/pom.xml
Dirk Mahler,2,jqassistant/index.adoc
Dirk Mahler,2,jqassistant/spring.adoc
Dirk Mahler,2,jqassistant/structure.adoc
Alexander Schwartz,2,.mvn/wrapper/maven-wrapper.jar
Gerd Aschemann,2,.mvn/wrapper/maven-wrapper.jar
Falk Sippach,1,.mvn/wrapper/maven-wrapper.jar
Alexander Schwartz,2,.mvn/wrapper/maven-wrapper.properties
Gerd Aschemann,2,.mvn/wrapper/maven-wrapper.properties
