Author,FileType,WordsByAuthorByFileType
annam002,xml,"[[""MERGE"",""DEVELOP"",""FEATURE/MODULARIZE\n""]]"
Falk Sippach,ftl,"[[""MERGE"",""DEVELOP"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""DEVELOP\n""]]"
Alexander Schwartz,json,"[[""MERGE"",""COMMIT"",""8C34C90A52FAACE5042DAE835142D281D4CACF07"",""DEVELOP\n""]]"
Niko Köbler,xml,"[[""UPDATED"",""JAXRS"",""ANALYZER"",""PLUGIN\n""],[""MOVED"",""MODEL"",""CLASSES"",""API"",""PACKAGE"",""INTRODUCE"",""PARENT"",""POM"",""STRUCTURE"",""GENERATE"",""SWAGGER.JSON"",""FILE"",""API"",""MODULE"",""TARGET"",""FOLDER\n""],[""REMOVE"",""MAVEN"",""REDUNDANCIES\n""],[""ADD"",""SWAGGER"",""GENERATION"",""BUILD"",""SO"",""CAN"",""GENERATE"",""SWAGGER"",""DOC"",""WITHOUT"",""HAVING"",""SWAGGER"",""ANNOTATIONS"",""CODE"",""\n""],[""EXPLICIT"",""GROOVY"",""SPOCK"",""VERSIONS"",""MAKE"",""TESTS"",""RUN"",""IGNORE"",""\n""],[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\n\n"",""BY"",""CHRISTOFER"",""DUTZ\n"",""VIA"",""CHRISTOFER"",""DUTZ\n*"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER:\n"",""ADDED"",""CONFIG"",""NEEDED"",""EMBED"",""FLEX"",""CLIENT"",""WAR"",""COMMENTED"",""\n""],[""MAKE"",""TESTS"",""RUN"",""SPOCK\n""],[""USE"",""ALL"",""GROOVY"",""BECAUSE"",""JSON"",""\n""],[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\n\n"",""BY"",""GERD"",""ASCHEMANN\n"",""VIA"",""GERD"",""ASCHEMANN\n*"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER:\n"",""UPDATE"",""README.MD\n"",""ADDED"",""VERSIONEYE"",""DEPENDENCY"",""STATUS\n"",""MAKE"",""VERSIONEYE"",""HAPPY\n""],[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER\n\n"",""BY"",""FALK"",""SIPPACH\n"",""VIA"",""FALK"",""SIPPACH\n*"",""MASTER"",""HTTPS://GITHUB.COM/JUGDA/DUKECON"",""SERVER:\n"",""POM.XML"",""TIDIED"",""UP"",""INTELLIJ"",""IDEA"",""PROBLEM"",""SPRING"",""BOOT"",""TOMCAT"",""FIXED\n""]]"
Gerd Aschemann,sql,"[[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""],[""STARTED"",""POSTGRESQL"",""DEVELOPMENT\n""],[""ADDED"",""USER"",""PREFERENCES"",""PERSISTENCE"",""...\n""]]"
Gerd Aschemann,raw_community,"[[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""]]"
annam002,travis,"[[""MERGE"",""DEVELOP"",""FEATURE/MODULARIZE\n""]]"
Gerd Aschemann,md,"[[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""],[""ADDED"",""VERSIONEYE"",""DEPENDENCY"",""STATUS\n""],[""MERGE"",""MASTER"",""APIASMVN\n""],[""MERGE"",""REQUEST"",""34"",""AHUS1/DEVELOP\n\nADDED"",""HEALTH"",""CHECK"",""SPRING"",""BOOT"",""STYLE""],[""MERGE"",""REQUEST"",""32"",""AHUS1/AHUS1"",""GUITEST\n\nPROOF"",""CONCEPT"",""GUI"",""TESTING"",""JGIVEN"",""ARQUILLIAN""],[""UPDATE"",""README.MD\n\nADDED"",""LABEL"",""VERSIONEYE"",""STATUS""],[""UPDATED"",""VERSIONEYE"",""DEPENDENCY"",""BADGES\n""]]"
Stephanie Peters,java,"[[""ATTEMPT"",""FIX"",""TEST"",""AFTER"",""CHANGING"",""HTML\n""]]"
"Aschemann, Gerd",raw,"[[""READ"",""LOCAL"",""RAW"",""JSON"",""FILE"",""BY"",""DEFAULT\n""]]"
Falk Sippach,txt,"[[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""]]"
Gerd Aschemann,mvn/wrapper/maven-wrapper,"[[""MERGE"",""REQUEST"",""33"",""AHUS1/DEVELOP\n\nADDING"",""MAVEN"",""WRAPPER"",""MAKE"",""ENABLE"",""BUILD"",""DUKECON"",""INFRA""],[""MERGE"",""REMOTE"",""TRACKING"",""ORIGIN/MASTER"",""DEVELOP\n""]]"
Falk Sippach,csv,"[[""MERGE"",""DEVELOP"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER"",""DEVELOP\n""],[""ADDED"",""FULLYBOOKED"",""NUMBEROFFAVORITES"",""LOCATIONCAPACITY"",""MODEL\n""],[""ADDED"",""FIRST"",""LASTNAME"",""CLEANED"",""UP"",""TWITTER"",""HANDLES\n""],[""ADDED"",""INTIAL"",""DATA"",""EXTRACTOR"",""HERBSTCAMPUS"",""CONFERENCE\n""],[""FINISHED"",""HERBSTCAMPUS"",""DATA"",""MAPPING\n""],[""HERBSTCAMPUS"",""INPUT"",""FILE"",""LOADING"",""AS"",""RESOURCE\n""],[""REFACTORING"",""SPEAKER"",""MAPPING\n""],[""JAVALAND"",""SPEAKER"",""INFORMATION"",""ADDED\n""]]"
Falk Sippach,gitignore,"[[""GITIGNORE"",""ADDED\n""],[""ACCESS"",""CONFERENCES"",""REST"",""SERVICE"",""ADDITIONALLY"",""REST/CONFERENCES/ID.JSON\n""],[""REFACTORING"",""SPEAKER"",""IMAGE"",""SERVICE"",""ADDED"",""HERBSTCAMPUS"",""SPEAKER"",""IMAGES\n""],[""BIG"",""REFACTORING"",""MULTITENANT"",""CONFERENCE"",""DATAPROVIDERS\n""],[""MERGE"",""MASTER"",""HTTPS://GITHUB.COM/DUKECON/DUKECON"",""SERVER\n""],[""LAST"",""INPUT"",""JSON"",""FILE"",""VERSION"",""FINISHED"",""JAVALAND"",""2016"",""JFS"",""2016\n""],[""MERGE"",""DEVELOP"",""FEATURE/POSTGRES\n\nCONFLICTS:\n\tIMPL/SRC/MAIN/RESOURCES/APPLICATION.PROPERTIES\n""],[""OVERLAY"",""DIRECTORY"",""IGNORED\n""],[""ADDED"",""SWAGGER2MARKUP\n""]]"
Niko Köbler,travis,"[[""INITIAL"",""BASIC"",""TRAVIS"",""FILE\n""]]"
