Author,CommitDate,ModificationKind,ChangeCount
Niko Köbler,2015-05,M,33
Gerd Aschemann,2015-05,M,27
Falk Sippach,2015-05,A,18
Falk Sippach,2015-05,M,17
Gerd Aschemann,2015-05,R,15
Niko Köbler,2015-05,A,12
Gerd Aschemann,2015-05,A,9
Niko Köbler,2015-05,D,6
Falk Sippach,2015-05,D,6
Gerd Aschemann,2015-05,D,6
Niko Köbler,2015-05,M,6
Niko Köbler,2015-05,A,5
Falk Sippach,2015-05,R,4
Niko Köbler,2015-05,R,4
Niko Köbler,2015-05,D,1
Christofer Dutz,2015-05,M,1
Gerd Aschemann,2015-06,M,10
Gerd Aschemann,2015-06,A,3
Niko Köbler,2015-06,M,1
"Aschemann, Gerd",2015-07,M,3
Gerd Aschemann,2015-07,M,2
"Aschemann, Gerd",2015-07,A,1
Falk Sippach,2015-07,M,1
Gerd Aschemann,2015-08,M,23
Gerd Aschemann,2015-08,A,11
Falk Sippach,2015-09,M,103
Falk Sippach,2015-09,A,55
Gerd Aschemann,2015-09,M,25
Falk Sippach,2015-09,D,17
Gerd Aschemann,2015-09,A,13
Falk Sippach,2015-09,R,11
Christofer Dutz,2015-09,M,6
Gerd Aschemann,2015-09,R,1
Falk Sippach,2015-10,M,254
Falk Sippach,2015-10,R,40
Falk Sippach,2015-10,A,28
Falk Sippach,2015-10,D,13
Gerd Aschemann,2015-10,M,4
Gerd Aschemann,2015-10,A,3
Christofer Dutz,2015-10,M,3
Christofer Dutz,2015-10,A,1
Falk Sippach,2015-10,C,1
Gerd Aschemann,2015-11,A,3
Falk Sippach,2015-11,M,3
Gerd Aschemann,2015-11,M,1
Alexander Schwartz,2015-11,M,1
Gerd Aschemann,2015-11,R,1
Alexander Schwartz,2015-12,A,37
Gerd Aschemann,2015-12,A,35
Gerd Aschemann,2015-12,M,11
Alexander Schwartz,2015-12,M,6
Falk Sippach,2015-12,M,1
Alexander Schwartz,2016-01,A,65
Gerd Aschemann,2016-01,M,60
Alexander Schwartz,2016-01,M,51
Falk Sippach,2016-01,A,48
Falk Sippach,2016-01,M,25
Alexander Schwartz,2016-01,R,18
Alexander Schwartz,2016-01,D,9
Gerd Aschemann,2016-01,A,7
Falk Sippach,2016-01,D,2
Gerd Aschemann,2016-01,D,2
steffchep,2016-01,M,1
Falk Sippach,2016-01,R,1
Alexander Schwartz,2016-02,M,18
Falk Sippach,2016-02,M,2
Christofer Dutz,2016-02,M,1
Gerd Aschemann,2016-03,M,35
Alexander Schwartz,2016-03,M,19
annam002,2016-03,R,14
annam002,2016-03,M,11
Gerd Aschemann,2016-03,A,6
annam002,2016-03,A,5
Falk Sippach,2016-03,M,4
Dirk Mahler,2016-03,A,3
Michal Harakal,2016-03,M,3
Falk Sippach,2016-03,A,2
Alexander Schwartz,2016-03,D,2
Alexander Schwartz,2016-03,A,1
Dirk Mahler,2016-03,M,1
Stephanie Peters,2016-03,M,1
DukeCon Jenkins,2016-03,M,1
Niko Köbler,2016-03,M,1
Christofer Dutz,2016-03,M,1
Gerd Aschemann,2016-03,R,1
Gerd Aschemann,2016-05,A,83
Gerd Aschemann,2016-05,M,45
Gerd Aschemann,2016-05,R,15
Gerd Aschemann,2016-05,D,13
Gerd Aschemann,2016-06,M,5
Alexander Schwartz,2016-07,M,7
Christofer Dutz,2016-08,M,66
Christofer Dutz,2016-08,A,26
Christofer Dutz,2016-08,R,16
Gerd Aschemann,2016-08,A,15
Gerd Aschemann,2016-08,M,12
Gerd Aschemann,2016-08,R,4
Falk Sippach,2016-08,M,3
Falk Sippach,2016-08,A,1
Christofer Dutz,2016-08,D,1
Falk Sippach,2016-09,A,35
Falk Sippach,2016-09,M,23
Christofer Dutz,2016-09,M,11
Christofer Dutz,2016-09,A,4
Falk Sippach,2016-09,D,2
Christofer Dutz,2016-10,M,18
Falk Sippach,2016-10,M,16
Falk Sippach,2016-10,A,7
Christofer Dutz,2016-10,A,7
Gerd Aschemann,2016-10,M,7
stephaniep,2016-10,A,1
Gerd Aschemann,2016-10,A,1
Stephanie Peters,2016-10,M,1
Gerd Aschemann,2016-11,M,26
Falk Sippach,2016-11,M,24
Gerd Aschemann,2016-11,A,23
Falk Sippach,2016-11,A,15
Falk Sippach,2016-11,R,10
Gerd Aschemann,2016-11,R,10
Falk Sippach,2016-11,D,8
Gerd Aschemann,2016-11,D,8
Falk Sippach,2016-12,M,32
Falk Sippach,2016-12,A,10
Gerd Aschemann,2016-12,M,7
Falk Sippach,2016-12,R,2
steffchep,2016-12,A,1
Falk Sippach,2016-12,D,1
Falk Sippach,2017-01,M,105
Falk Sippach,2017-01,A,74
Gerd Aschemann,2017-01,M,8
Christofer Dutz,2017-01,M,6
Falk Sippach,2017-01,D,5
Falk Sippach,2017-01,R,2
Christofer Dutz,2017-01,A,1
Christofer Dutz,2017-01,D,1
Falk Sippach,2017-02,M,20
Christofer Dutz,2017-02,C,13
Christofer Dutz,2017-02,R,13
PitTorf,2017-02,M,2
Gerd Aschemann,2017-02,M,1
Christofer Dutz,2017-02,M,1
Dirk Mahler,2017-03,A,177
Falk Sippach,2017-03,M,58
Dirk Mahler,2017-03,M,37
Dirk Mahler,2017-03,R,11
Falk Sippach,2017-03,A,5
Gerd Aschemann,2017-03,M,3
Falk Sippach,2017-03,R,2
Dirk Mahler,2017-03,C,1
Dirk Mahler,2017-03,D,1
Dirk Mahler,2017-04,M,1
