CommitDate,ModificationKind,ChangeCount
2015-05,A,44
2015-06,A,3
2015-07,A,1
2015-08,A,11
2015-09,A,68
2015-10,A,32
2015-11,A,3
2015-12,A,72
2016-01,A,120
2016-03,A,17
2016-05,A,83
2016-08,A,42
2016-09,A,39
2016-10,A,16
2016-11,A,38
2016-12,A,11
2017-01,A,75
2017-03,A,182
2015-10,C,1
2017-02,C,13
2017-03,C,1
2015-05,D,19
2015-09,D,17
2015-10,D,13
2016-01,D,13
2016-03,D,2
2016-05,D,13
2016-08,D,1
2016-09,D,2
2016-11,D,16
2016-12,D,1
2017-01,D,6
2017-03,D,1
2015-05,M,84
2015-06,M,11
2015-07,M,6
2015-08,M,23
2015-09,M,134
2015-10,M,261
2015-11,M,5
2015-12,M,18
2016-01,M,137
2016-02,M,21
2016-03,M,77
2016-05,M,45
2016-06,M,5
2016-07,M,7
2016-08,M,81
2016-09,M,34
2016-10,M,42
2016-11,M,50
2016-12,M,39
2017-01,M,119
2017-02,M,24
2017-03,M,98
2017-04,M,1
2015-05,R,23
2015-09,R,12
2015-10,R,40
2015-11,R,1
2016-01,R,19
2016-03,R,15
2016-05,R,15
2016-08,R,20
2016-11,R,20
2016-12,R,2
2017-01,R,2
2017-02,R,13
2017-03,R,13
