CommitDate,CommitCount,FileType
2015-05,49,xml
2015-05,37,groovy
2015-05,31,json
2015-05,25,java
2015-05,9,raml
2015-05,5,gitignore
2015-05,5,md
2015-05,3,txt
2015-05,2,travis
2015-05,2,jpg
2015-05,2,properties
2015-06,6,xml
2015-06,4,groovy
2015-06,1,properties
2015-06,1,java
2015-06,1,html
2015-06,1,gitignore
2015-07,3,groovy
2015-07,1,properties
2015-07,1,md
2015-07,1,raw
2015-07,1,xml
2015-08,14,groovy
2015-08,9,xml
2015-08,7,properties
2015-08,3,java
2015-08,1,sql
2015-09,99,groovy
2015-09,69,java
2015-09,22,properties
2015-09,16,raw
2015-09,14,xml
2015-09,5,json
2015-09,2,sql
2015-09,2,md
2015-09,2,gitignore
2015-10,162,groovy
2015-10,117,java
2015-10,29,xml
2015-10,23,properties
2015-10,9,raw
2015-10,3,raw_community
2015-10,2,sql
2015-10,2,md
2015-11,2,xml
2015-11,2,travis
2015-11,2,sql
2015-11,2,properties
2015-11,1,txt
2015-12,48,java
2015-12,8,groovy
2015-12,7,xml
2015-12,4,
2015-12,4,mvn/wrapper/maven-wrapper
2015-12,4,gitignore
2015-12,3,md
2015-12,2,cmd
2015-12,2,jboss
2015-12,2,adoc
2015-12,2,bat
2015-12,2,properties
2015-12,2,gitattributes
2016-01,82,java
2016-01,64,groovy
2016-01,59,properties
2016-01,34,xml
2016-01,7,gitignore
2016-01,6,md
2016-01,5,sql
2016-01,4,sh
2016-01,4,adoc
2016-01,4,travis
2016-01,4,mvn/wrapper/maven-wrapper
2016-01,3,raw
2016-01,2,cmd
2016-01,2,jboss
2016-01,2,bat
2016-01,2,gitattributes
2016-01,2,
2016-01,1,raw_community
2016-01,1,json
2016-01,1,txt
2016-02,9,groovy
2016-02,5,java
2016-02,2,properties
2016-02,2,sh
2016-02,1,md
2016-02,1,travis
2016-02,1,xml
2016-03,41,xml
2016-03,31,groovy
2016-03,9,java
2016-03,7,adoc
2016-03,6,travis
2016-03,6,properties
2016-03,4,csv
2016-03,3,sh
2016-03,3,md
2016-03,1,gitignore
2016-05,42,java
2016-05,33,groovy
2016-05,32,xml
2016-05,15,properties
2016-05,4,html
2016-05,4,gitignore
2016-05,3,sql
2016-05,3,raw
2016-05,3,txt
2016-05,3,adoc
2016-05,2,mvn/wrapper/maven-wrapper
2016-05,2,md
2016-05,1,bat
2016-05,1,gitattributes
2016-05,1,json
2016-05,1,csv
2016-05,1,
2016-05,1,sh
2016-05,1,cmd
2016-05,1,jboss
2016-05,1,travis
2016-05,1,raw_community
2016-06,3,xml
2016-06,2,properties
2016-07,4,xml
2016-07,2,java
2016-07,1,sh
2016-08,69,java
2016-08,27,jpg
2016-08,22,xml
2016-08,15,groovy
2016-08,9,png
2016-08,2,gitignore
2016-09,50,groovy
2016-09,8,xml
2016-09,6,csv
2016-09,4,yml
2016-09,3,java
2016-09,2,raw
2016-09,1,gitignore
2016-09,1,properties
2016-10,19,java
2016-10,18,groovy
2016-10,9,properties
2016-10,4,xml
2016-10,4,ftl
2016-10,2,png
2016-10,1,raw
2016-10,1,gitignore
2016-11,92,groovy
2016-11,8,java
2016-11,6,xml
2016-11,4,gitignore
2016-11,4,adoc
2016-11,3,puml
2016-11,3,yml
2016-11,2,svg
2016-11,2,raw
2016-12,42,groovy
2016-12,5,properties
2016-12,3,yml
2016-12,1,raw
2016-12,1,xml
2016-12,1,java
2017-01,111,groovy
2017-01,56,jpg
2017-01,12,java
2017-01,9,yml
2017-01,6,raw
2017-01,4,csv
2017-01,2,xml
2017-01,1,gitignore
2017-01,1,travis
2017-02,18,jpg
2017-02,11,groovy
2017-02,8,png
2017-02,8,yml
2017-02,2,xml
2017-02,2,java
2017-02,1,csv
2017-03,113,groovy
2017-03,74,jpg
2017-03,44,java
2017-03,12,properties
2017-03,11,xml
2017-03,10,raw
2017-03,9,png
2017-03,5,adoc
2017-03,4,csv
2017-03,2,md
2017-03,2,html
2017-03,2,yml
2017-03,1,ftl
2017-03,1,txt
2017-03,1,gitignore
2017-03,1,sh
2017-03,1,travis
2017-03,1,puml
2017-03,1,svg
2017-04,1,xml
